"femID","Female_total_EPO_clutches","BroodName","femaleCohort","SocialDadID","FWPO","FEPO","FTO","FPercentEP","F_EPP_brood","F_total_Brood_number","F_total_Partner_number","Number_Broods_with_Partner","F_Percent_clutch_EP","Sex","Age","Dam","maleCohort","BroodRef","maleID","EventDate","male_brood_WPO","male_brood_EPO","Male_Year_WPO","Male_Year_EPO","M_EPP_Year","M_EPP_brood"
338,3,"D041",2004,603,0,2,2,1,1,12,12,3,0.25,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3,"D084",2004,603,0,4,4,1,1,12,12,3,0.25,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3,"D130",2004,603,0,5,5,1,1,12,12,3,0.25,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3,"D179",2004,466,5,0,5,0,0,12,12,7,0.25,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3,"E051",2005,466,5,0,5,0,0,12,12,7,0.25,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3,"E100",2005,466,5,0,5,0,0,12,12,7,0.25,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3,"E189",2005,466,4,0,4,0,0,12,12,7,0.25,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3,"F009",2006,466,5,0,5,0,0,12,12,7,0.25,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3,"F040",2006,466,3,0,3,0,0,12,12,7,0.25,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3,"F093",2006,466,3,0,3,0,0,12,12,7,0.25,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3,"F113",2006,2906,2,0,2,0,0,12,12,1,0.25,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3,"G005",2007,2605,3,0,3,0,0,12,12,1,0.25,"0",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,1,"D117",2004,421,3,1,4,0.25,1,5,5,5,0.2,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,1,"D190",2004,421,2,0,2,0,0,5,5,5,0.2,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,1,"E030",2005,421,4,0,4,0,0,5,5,5,0.2,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,1,"E125",2005,421,5,0,5,0,0,5,5,5,0.2,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,1,"E206",2005,421,2,0,2,0,0,5,5,5,0.2,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,3,"C010",2003,4264,3,1,4,0.25,1,6,6,5,0.5,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,3,"C059",2003,4264,3,0,3,0,0,6,6,5,0.5,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,3,"C113",2003,4264,2,1,3,0.333333333333333,1,6,6,5,0.5,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,3,"D057",2004,4264,5,0,5,0,0,6,6,5,0.5,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,3,"D147",2004,4264,1,2,3,0.666666666666667,1,6,6,5,0.5,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,3,"E047",2005,1956,4,0,4,0,0,6,6,1,0.5,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,3,"C032",2003,422,1,0,1,0,0,8,8,2,0.375,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,3,"C079",2003,422,4,0,4,0,0,8,8,2,0.375,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,3,"C130",2003,4247,3,1,4,0.25,1,8,8,1,0.375,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,3,"D030",2004,725,4,0,4,0,0,8,8,5,0.375,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,3,"D093",2004,725,5,0,5,0,0,8,8,5,0.375,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,3,"D173",2004,725,4,1,5,0.2,1,8,8,5,0.375,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,3,"E039",2005,725,3,1,4,0.25,1,8,8,5,0.375,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,3,"E146",2005,725,6,0,6,0,0,8,8,5,0.375,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,4,"C045",2003,602,3,0,3,0,0,7,7,1,0.571428571428571,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,4,"C081",2003,4230,2,1,3,0.333333333333333,1,7,7,5,0.571428571428571,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,4,"C118",2003,4230,4,0,4,0,0,7,7,5,0.571428571428571,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,4,"D008",2004,4230,1,0,1,0,0,7,7,5,0.571428571428571,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,4,"D051",2004,4230,2,1,3,0.333333333333333,1,7,7,5,0.571428571428571,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,4,"D133",2004,4230,2,2,4,0.5,1,7,7,5,0.571428571428571,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,4,"D206",2004,456,0,2,2,1,1,7,7,1,0.571428571428571,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,7,"C004",2003,4435,2,0,2,0,0,10,10,1,0.7,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,7,"C062",2003,4418,4,0,4,0,0,10,10,9,0.7,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,7,"C119",2003,4418,2,1,3,0.333333333333333,1,10,10,9,0.7,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,7,"D052",2004,4418,3,1,4,0.25,1,10,10,9,0.7,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,7,"D131",2004,4418,2,2,4,0.5,1,10,10,9,0.7,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,7,"D193",2004,4418,1,3,4,0.75,1,10,10,9,0.7,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,7,"E020",2005,4418,4,0,4,0,0,10,10,9,0.7,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,7,"E088",2005,4418,2,1,3,0.333333333333333,1,10,10,9,0.7,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,7,"E164",2005,4418,2,2,4,0.5,1,10,10,9,0.7,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,7,"E232",2005,4418,3,1,4,0.25,1,10,10,9,0.7,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,3,"C044",2003,590,4,0,4,0,0,7,7,1,0.428571428571429,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,3,"C084",2003,4415,4,0,4,0,0,7,7,1,0.428571428571429,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,3,"C131",2003,4503,4,0,4,0,0,7,7,4,0.428571428571429,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,3,"D020",2004,4503,3,1,4,0.25,1,7,7,4,0.428571428571429,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,3,"D118",2004,4503,1,1,2,0.5,1,7,7,4,0.428571428571429,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,3,"D204",2004,4503,4,0,4,0,0,7,7,4,0.428571428571429,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,3,"E059",2005,765,2,1,3,0.333333333333333,1,7,7,1,0.428571428571429,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,6,"C005",2003,22,1,1,2,0.5,1,11,11,9,0.545454545454545,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,6,"C061",2003,22,6,0,6,0,0,11,11,9,0.545454545454545,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,6,"C112",2003,22,5,0,5,0,0,11,11,9,0.545454545454545,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,6,"D046",2004,22,5,0,5,0,0,11,11,9,0.545454545454545,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,6,"D106",2004,22,4,1,5,0.2,1,11,11,9,0.545454545454545,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
